Timestamp,Varietal,Bin,Brix,Temperature,Anything notable about this fermentation today?,Reported by,Date of Measurement
9/16/2024 23:55:06,"GRENACHE, Redgale Vineyard, Solano County",1,17,68,Saignee out 10 gal into keg; replaced with 10 gal JJ,Andrew,9/15/2024
9/16/2024 23:56:13,"GRENACHE, Redgale Vineyard, Solano County",2,19,68.5,Saignee 10 gal of juice and replaced with 10 gal JJ,Andrew,9/15/2024
9/16/2024 23:57:43,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,28,72,Tall bin; hard to punchdown ,Fah,9/15/2024
9/17/2024 0:00:41,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,28,70.5,Some gas in juice,Fah,9/15/2024
9/17/2024 0:01:09,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,29,74,Some gas in juice,Fah,9/15/2024
9/16/2024 23:50:58,"GRENACHE, Redgale Vineyard, Solano County",1,26,67,AMH 50g yeast; 25g GoFerm; 100g Superfood; 500g tartaric (~1.5g/L); no warm spot,David,9/16/2024
9/16/2024 18:59:54,"GRENACHE, Redgale Vineyard, Solano County",2,25,67.5,BRL97 50g yeast; 25g GoFerm; 100g Superfood; 500g tartaric (~1.5g/L),Brian,9/16/2024
9/16/2024 19:03:27,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,29,69,RP15 70g yeast; 70g GoFerm; 50g Superfood; Smells like nail polish remover ,Brian,9/16/2024
9/16/2024 18:47:11,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,31,67,Syrah 50g yeast; 25g GoFerm; 50g Superfood; (~1.5g/L); Some warm spots ,Fah,9/16/2024
9/16/2024 18:52:18,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,31,68,RP15 50g yeast; 25g GoFerm; 50g Superfood; Few warm spots in the middle ,David,9/16/2024
9/17/2024 12:11:21,"GRENACHE, Redgale Vineyard, Solano County",1,25,66,Slow fermentation? Spot only in the center. Nice aroma,Mio,9/17/2024
9/17/2024 12:12:34,"GRENACHE, Redgale Vineyard, Solano County",2,24.5,66.6,"Relatively watery? Nice aroma, more active than bin 1",Mio,9/17/2024
9/17/2024 12:40:41,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,29,68.5,40gal JJ; Much warmer and faster fermentation,Mio,9/17/2024
9/17/2024 16:00:09,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,16,70,Post mizu 40 g hard to stir. Confirmed pato it took time.,Mio,9/17/2024
9/17/2024 12:03:49,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,30,65.7,20gal JJ; Warm spots here and there. Low acid feel.,Mio,9/17/2024
9/17/2024 14:04:50,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,21,68,Post Mizu 20g,Mio,9/17/2024
9/17/2024 12:17:50,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,29.5,66,20gal JJ; Warmer than bin 2,Mio,9/17/2024
9/17/2024 14:05:24,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,21,70,Post mizu 20g,Mio,9/17/2024
9/17/2024 18:28:21,"GRENACHE, Redgale Vineyard, Solano County",2,23,70,Starting to bubble and grapes need to be popped more. Spent additional time popping the grapes.,Jenine,9/17/2024
9/18/2024 20:14:27,"GRENACHE, Redgale Vineyard, Solano County",1,24,69,,Amanda Kartz,9/17/2024
9/18/2024 20:15:07,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,20.5,71,,Amanda Kartz,9/17/2024
9/18/2024 20:15:39,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,22,69,,Amanda Kartz,9/17/2024
9/18/2024 20:16:14,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,22,72,,Amanda Kartz,9/17/2024
9/18/2024 18:17:39,"GRENACHE, Redgale Vineyard, Solano County",1,20.5,75,"Bubbly, grapes are still full size",Clinton,9/18/2024
9/18/2024 18:21:29,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,22,72.5,"Bubbling , grapes are still full size",Clinton,9/18/2024
9/18/2024 18:24:33,"GRENACHE, Redgale Vineyard, Solano County",2,15.5,82.6,"Very bubbly, ",Clinton,9/18/2024
9/18/2024 18:31:52,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,23,72.2,Not,Clinton,9/18/2024
9/18/2024 18:35:14,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,22,72,"Cooler than other bins, not very active",Clinton,9/18/2024
9/19/2024 18:51:43,"GRENACHE, Redgale Vineyard, Solano County",1,10.5,83.7,,Jenine,9/19/2024
9/19/2024 18:52:43,"GRENACHE, Redgale Vineyard, Solano County",2,5,87.3,,Jenine,9/19/2024
9/19/2024 18:53:33,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,21,75.7,70g superfood,Jenine,9/19/2024
9/19/2024 18:54:10,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,18,75.2,35g superfood,Jenine,9/19/2024
9/19/2024 18:55:20,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,20,76.8,35g superfood,Jenine,9/19/2024
9/20/2024 18:36:17,"GRENACHE, Redgale Vineyard, Solano County",2,2.1,85,,Kat,9/20/2024
9/20/2024 9:48:07,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,15.5,77,"Bubbling, sounding active before pd",Mio,9/20/2024
9/20/2024 9:48:40,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,18,76,"Bubbling, sounding active before pd",Mio,9/20/2024
9/20/2024 9:49:13,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,17.5,78,"Bubbling, sounding active before pd",Mio,9/20/2024
9/20/2024 18:23:19,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,15.5,80.2,Smell a bit eggy ,Joshua,9/20/2024
9/20/2024 18:26:41,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,18,80.4,Some pink foam ,Noah,9/20/2024
9/20/2024 18:30:35,"GRENACHE, Redgale Vineyard, Solano County",1,6,86,,Kat,9/20/2024
9/20/2024 18:41:21,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,17,80.4,Very strong eggy ,Joshua ,9/20/2024
9/21/2024 11:02:37,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,12.5,77,Strong eggy smell. Punchdown harder ,Denise ,9/21/2024
9/21/2024 11:04:47,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,17,77.5,Normal,Denise,9/21/2024
9/21/2024 11:07:01,"GRENACHE, Redgale Vineyard, Solano County",1,4.8,80,Smell nice. A bit alcoholic. ,Heather ,9/21/2024
9/21/2024 11:08:53,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,15.5,79,"Strong sulfur smell, very bubbly while punching down. ",Denise,9/21/2024
9/21/2024 11:09:17,"GRENACHE, Redgale Vineyard, Solano County",2,0.7,79.5,Smell alcoholic,Clinton,9/21/2024
9/22/2024 10:34:45,"GRENACHE, Redgale Vineyard, Solano County",2,-0.8,77.5,Nice smell; sweet ,Alba ,9/22/2024
9/22/2024 10:36:20,"GRENACHE, Redgale Vineyard, Solano County",1,2.5,79.5,Slightly eggy,Lisa Marie,9/22/2024
9/22/2024 10:43:38,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,10.5,79.5,Not eggy. Smell okay. 100g superfood.,Lisa Marie,9/22/2024
9/22/2024 10:48:20,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,16,79.5,Very eggy; 100g superfood,Alba,9/22/2024
9/22/2024 10:54:07,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,13,81,Very very eggy; 200 g superfood,Carlos,9/22/2024
9/22/2024 22:24:24,"BARBERA, Estate, Green Valley",1,25.5,61,Sangiobera; from less ripe side (E) of the vineyard; measured after adding 27 gal of saignee from other three bins and remove 9 gal,Alba,9/22/2024
9/22/2024 22:25:04,"BARBERA, Estate, Green Valley",2,27,63,from ripe side (W) of the vineyard; measured before saignee 9 gal out,Alba,9/22/2024
9/22/2024 22:25:55,"BARBERA, Estate, Green Valley",3,26.5,62,from riper side (W + NE) of the vineyard; measured before saignee 9 gal out,Alba,9/22/2024
9/22/2024 22:27:39,"BARBERA, Estate, Green Valley",4,26,62.5,from riper side (NE) of the vineyard; measured before saignee 9 gal out,Alba,9/22/2024
9/23/2024 13:24:07,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,8.5,86,"Firm cap, weak foam, strong rotting eggs smell",Mio,9/23/2024
9/23/2024 13:24:38,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,5.5,84,"Firm cap, weak foam, strong rotting eggs smell",Mio,9/23/2024
9/23/2024 13:25:02,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,11,85,"Firm cap, weak foam, strong rotting eggs smell",Mio,9/23/2024
9/23/2024 13:29:14,"GRENACHE, Redgale Vineyard, Solano County",1,-0.5,82,Still sweet feel,Mio,9/23/2024
9/23/2024 13:29:49,"GRENACHE, Redgale Vineyard, Solano County",2,-1.5,76,Very dry. Cap is weaken but still there ok.,Mio,9/23/2024
9/24/2024 10:29:48,"GRENACHE, Redgale Vineyard, Solano County",1,7.5,84,"Slow, rotten egg, added superferm  60g",Mio,9/24/2024
9/24/2024 10:30:39,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,5.5,81.5,"Rotten egg smell, no progress, added super term 30",Mio,9/24/2024
9/24/2024 10:31:17,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,10.5,83,"No rotten egg, superferm 30g added, very slow",Mio,9/24/2024
9/24/2024 18:58:54,"BARBERA, Estate, Green Valley",1,26,63.5,Inoculating D254; 25g GoFerm; 100g Superferm,Rihan Boot,9/24/2024
9/24/2024 18:59:38,"BARBERA, Estate, Green Valley",2,25,64.6,Inoculating BRL97; 25g GoFerm; 100g Superferm,Rihan Boot,9/24/2024
9/24/2024 19:02:55,"BARBERA, Estate, Green Valley",3,24,64.9,Inoculating BRL97; 25g GoFerm; 100g Superferm,Rihan Boot,9/24/2024
9/24/2024 19:03:30,"BARBERA, Estate, Green Valley",4,26,64.6,Inoculating BRL97; 25g GoFerm; 100g Superferm,Rihan Boot,9/24/2024
9/24/2024 19:04:40,"GRENACHE, Redgale Vineyard, Solano County",1,-1,86.2,N/a,Rihan Boot,9/24/2024
9/24/2024 19:06:57,"GRENACHE, Redgale Vineyard, Solano County",2,-1.5,82.2,N/a,Rihan Boot,9/24/2024
9/24/2024 19:08:17,"ZINFANDEL, Lucchesi Vineyard, Green Valley",3,9,86.4,Slow active bubbles; 5 gal mizu,Rihan Boot,9/24/2024
9/24/2024 19:08:51,"ZINFANDEL, Lucchesi Vineyard, Green Valley",2,5,86,Slow active bubbles; 5 gal mizu,Rihan Boot,9/24/2024
9/25/2024 18:26:52,"GRENACHE, Redgale Vineyard, Solano County",1,-1.2,77,No real warm spot,Dave Hinman ,9/25/2024
9/25/2024 18:28:34,"GRENACHE, Redgale Vineyard, Solano County",2,-1.4,77,No warm spots ,David Hinman ,9/25/2024
