Timestamp,Varietal,Bin,Brix,Temperature,Anything notable about this fermentation today?,Reported by,Date of Measurement
9/16/2024 23:55:06,"GRENACHE, Redgale Vineyard, Solano County",1,17,68,Saignee out 10 gal into keg; replaced with 10 gal JJ,Andrew,9/15/2024
9/16/2024 23:56:13,"GRENACHE, Redgale Vineyard, Solano County",2,19,68.5,Saignee 10 gal of juice and replaced with 10 gal JJ,Andrew,9/15/2024
9/16/2024 23:50:58,"GRENACHE, Redgale Vineyard, Solano County",1,26,67,AMH 50g yeast; 25g GoFerm; 100g Superfood; 500g tartaric (~1.5g/L); no warm spot,David,9/16/2024
9/16/2024 18:59:54,"GRENACHE, Redgale Vineyard, Solano County",2,25,67.5,BRL97 50g yeast; 25g GoFerm; 100g Superfood; 500g tartaric (~1.5g/L),Brian,9/16/2024
9/17/2024 12:11:21,"GRENACHE, Redgale Vineyard, Solano County",1,25,66,Slow fermentation? Spot only in the center. Nice aroma,Mio,9/17/2024
9/17/2024 12:12:34,"GRENACHE, Redgale Vineyard, Solano County",2,24.5,66.6,Relatively watery? Nice aroma more active than bin 1,Mio,9/17/2024
9/18/2024 18:17:39,"GRENACHE, Redgale Vineyard, Solano County",1,20.5,75,Bubbly grapes are still full size,Clinton,9/18/2024
9/18/2024 18:24:33,"GRENACHE, Redgale Vineyard, Solano County",2,15.5,82.6,Very bubbly,Clinton,9/18/2024
9/19/2024 18:51:43,"GRENACHE, Redgale Vineyard, Solano County",1,10.5,83.7,,Jenine,9/19/2024
9/19/2024 18:52:43,"GRENACHE, Redgale Vineyard, Solano County",2,5,87.3,,Jenine,9/19/2024
9/16/2024 23:57:43,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,28,72,Tall bin; hard to punchdown,Fah,9/15/2024
9/16/2024 19:03:27,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,29,69,RP15 70g yeast; 70g GoFerm; 50g Superfood; Smells like nail polish remover,Brian,9/16/2024
9/17/2024 12:40:41,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,29,68.5,40gal JJ; Much warmer and faster fermentation,Mio,9/17/2024
9/17/2024 16:00:09,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,16,70,Post mizu 40 g hard to stir. Confirmed pato it took time.,Mio,9/17/2024
9/20/2024 18:41:21,"ZINFANDEL, Lucchesi Vineyard, Green Valley",1,17,80.4,Very strong eggy,Joshua,9/20/2024
9/22/2024 22:24:24,"BARBERA, Estate, Green Valley",1,25.5,61,Sangiobera; from less ripe side (E) of the vineyard; measured after adding 27 gal of saignee,Alba,9/22/2024
9/24/2024 18:58:54,"BARBERA, Estate, Green Valley",1,26,63.5,Inoculating D254; 25g GoFerm; 100g Superferm,Rihan Boot,9/24/2024
9/25/2024 18:38:58,"BARBERA, Estate, Green Valley",1,27,68,,David Hinman,9/25/2024
9/26/2024 18:37:55,"BARBERA, Estate, Green Valley",1,23,73.5,,Jenine,9/26/2024
